Caminho Original,É da Rádio?,Programa Identificado,Destino Proposto
G:\Meu Drive\clarear.mp3,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Audios_Diversos
G:\Meu Drive\meu anjo.mp3,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Audios_Diversos
G:\Meu Drive\VEM ME NINAR.mp3,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Audios_Diversos
G:\Meu Drive\projeto.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\SERVIÇOS DO CASAMENTO SAYO_E_THIAGO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\convite.psd,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\sayo_thiago.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\senhas.psd,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\lista de presentes.psd,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\convite.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\sayo_thiago.psd,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\senhas.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\músicas entrada sayo_thiago.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Casamento Sayo_e_Thiago.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Sayo_FC_2020.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\CV - Sayonara Rodrigues.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\assinatura_extenso.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\assinatura_rubrica.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\FB_IMG_1613138532944.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\ROTEIRO - REALIDADE RN.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Relatório_Fisio_NiltonTargino.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Relatório Fisio_ManoelRodrigues.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\39999695_315388639229130_8337916919071899648_n.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\40045881_315388645895796_4078374040882905088_n.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\40079002_315388655895795_3876265678935687168_n.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\40095757_315388699229124_4536161805961003008_n.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\8310bff7-59ff-4704-bdd2-a955ba0b9a92.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\f3bf3812-b26d-4f2a-a932-7588cfc8b1c2.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\40003618_315388675895793_988665136115875840_n.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\696e6b65-71cb-4ecb-984b-67e166e48ee5.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\40006421_315388599229134_4611749648367878144_n.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\6168b53a-f33b-4ee2-84b2-e5722389a5d8.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\28633040-cff3-4a94-a9a9-a065f96709da.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\f5f85f2a-165f-4f29-b133-939891673f7d.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\Como criar um podcast de sucesso.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\RECIBO_Sayonara.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\PROCURAÇÃO_Sayonara.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\BO_00072643 2023.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Chaves e Links - Sessões TJRN.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\LM75 - MEDITAÇÃO.mp3,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Audios_Diversos
G:\Meu Drive\TJRN - META MENSAL RADIO WEB TJRN 2023.docx,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\UNIMED - NEGAÇÃO CIRURGIA ORELHA.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\NOTIFICAÇÃO EXTRAJUDICIAL UNIMED.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Requerimento_Padrão_2022.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\1ª AVALIAÇÃO LINGUAGEM AUDIOVISUAL - THIAGO MACEDO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Thiago-Macedo-1720111735300-Profile.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Avaliação - Legislação no Radialismo.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Atestado de Matrícula.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Avaliação - Iluminação cênica - UND3.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Cópia de IMG_9496.heic,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\Cópia de IMG_9494.HEIC,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\Termo_de_compromisso_de_TCC (1).gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Códigos de backup.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Thiago Macedo - Currículo.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Design sem nome (1).jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\Comprovante_20250108T204518158849.png,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\Dossiê de Direção.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Avaliação adicional (4a prova) - Direção no Audiovisual.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Trampolim Sonoro .gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Termo_de_compromisso_de_TCC.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\ilumina.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Canais Globosat.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Cliente Oculto.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Canais Globosat - GloboNews e SporTV.gslides,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\CAIXA DE PANDORA.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\IMPERADOR DO SERTÃO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\O Imperador do Sertão - Minissérie.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\REQUERIMENTO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\REQUERIMENTO   MANIFESTAÇÃO À CONTESTAÇÃO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Avaliação - CENOGRAFIA EM COMUNICACAO .gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\ATLETAS.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Cenário das Rádios Web em Parnamirim RN.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Respostas ao Formulário.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Tendências Gerais das Rádios Web de Parnamirim RN.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Lista de Rádios - Parnamirim.xlsx,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Respostas.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Respostas - Formulário.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Respostas.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\TCC THIAGO MACEDO (1).pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Projeto para TV   Imperador do Sertão .gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\25016287.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\IMPERADOR DO SERTÃO - ATUALIZADO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Gráficos TCC.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\TCC THIAGO MACEDO.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Imperador do Sertão.pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\AVALIAÇÃO UND II CENOGRAFIA.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\AVALIAÇÃO UNIDADE III CENOGRAFIA.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\QUARTA AVALIAÇÃO - TV II - THIAGO MACEDO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\PERSONA NEWS - JORNALISTA DE BOLETINS JUDICIAIS.gdoc,SIM,NJUD,H:\Meu Drive\01_ROTEIROS/NJUD
G:\Meu Drive\PROJETO DE PESQUISA PARA MESTRADO EM ESTUDOS DA MÍDIA.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Camara - Homenagem.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Rádios Parnamirim.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\categorias radios.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\TEXTO COMPILADO - 07 10 2025.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\faça o melhor mix possível o máximo ganho finance....gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\TEXTO COMPILADO DA PLANILHA - 09 10 2025.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\quero que você analise o nosso contrato e a nossa....gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\GUIA DE TRANSMISSÃO - FINAL SUB 15.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\quero 10 ideias.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\crie uma planilha única.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\ROTEIROS ILUMINA FISIO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\NOTICIAS_DO_JUDICIARIO_1749 20_10.mp3,SIM,DESCONHECIDO,H:\Meu Drive\02_PRODUCAO/DESCONHECIDOS
G:\Meu Drive\Pegar Texto dos Boletins.gdoc,SIM,BOLETIM,H:\Meu Drive\01_ROTEIROS/BOLETINS
G:\Meu Drive\Devolver para Reparar  Histórias e Impactos.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\NJUD 1753 - 24 10.mp3,SIM,NJUD,H:\Meu Drive\02_PRODUCAO/NJUD
G:\Meu Drive\Práticas de Comunicação Não Violenta para Auto Gestão de Equipes em Trabalho Remoto.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\SPOT FEIRA DE ARTESANATO.mp3,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Audios_Diversos
G:\Meu Drive\SPOT DIA DO SERVIDOR.mp3,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Audios_Diversos
G:\Meu Drive\Linguagem e Direito - Aula 1 - TRANSCRIÇÃO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\NJUD 1761 - 05 11.mp3,SIM,NJUD,H:\Meu Drive\02_PRODUCAO/NJUD
G:\Meu Drive\Venda de Terreno de Alto Padrão em Parnamirim.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\vamos criar um projeto juntos.  Projeto Final   N....gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\VT Cena 2.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\precisamos fazer a planilha para 2026 com os vale....gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Imagem do WhatsApp de 2025-10-31 à(s) 12.35.42_8d50e4f1.jpg,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Imagens_e_Videos
G:\Meu Drive\Documento de Thiago Macedo (2),NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\Coruja.mp3,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Audios_Diversos
G:\Meu Drive\Etiquetas de Endereçamento.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Documento sem título (6).gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Exportação do Gemini  19 de janeiro de 2026 às 10 48 58 BRT.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\Contrato ILUMINA FISIO Parnamirim.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Relatório Rádios.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Solicitação Técnica Rádio TJRN.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\transforme em um arquivo formatado e modifique o....gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\RELATÓRIO DE VEICULAÇÃO DE CONTEÚDO EDUCATIVO.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Planilha sem título (7).gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Copy of Atul Shankar - Dataset2  - Atalanta BC vs Parma Calcio [Match 4] (1).xlsx,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Copy of Atul Shankar - Dataset2  - Atalanta BC vs Parma Calcio [Match 4].xlsx,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Compartilhando arquivo… (1).pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Planilha sem título (6).gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Planilha de Avaliação de Insights Esportivos.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Planilha sem título (5).gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Match 3.csv,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Planilha sem título (4).gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Thiago_Macedo_Barcelona_vs_Mallorca_Evaluation.csv,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Planilha sem título (3).gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Thiago Macedo - Match 5_ T-45 (Dataset 2)  - Barcelona vs Mallorca.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Thiago Macedo - Match 5  T-45 (Dataset 2)  - Barcelona vs Mallorca.gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Documento de Thiago Macedo (1),NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\narrador-pro---dashboard-de-futebol.zip,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\NU_157349675_01FEV2026_10FEV2026.csv,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Planilha sem título (2).gsheet,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Análise Linguística de Advertência de Risco.gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Documento sem título (5).gdoc,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\PAUTA SUSTENTAÇÃO ANTERIOR PRESENCIAL E REMOTA SESSÃO 10.03.2026.docx,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\GC 1ª C CÍVEL 10 03 2026.txt,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\GC 3ª C CÍVEL 10 03 2026.txt,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\Compartilhando arquivo….pdf,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
G:\Meu Drive\Atualizador de Boletins,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
"G:\Meu Drive\Plano Estratégico e Proposta Comercial  Plataforma de ODR (Conciliação, Mediação e Arbitragem).gdoc",NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Documentos_e_Planilhas
