Episódio,Mês,Tem Script,Gravação Final (Editado),Locução / Off / Notas
NJUD 1792,1 - JANEIRO,Sim,Drive: NJUD 1792 08-01.mp3,Faltando
NJUD 1793,1 - JANEIRO,Sim,Drive: NJUD 1793 09-01.mp3,Faltando
NJUD 1794,1 - JANEIRO,Sim,Drive: NJUD 1794 12-01.mp3,Faltando
NJUD 1795,1 - JANEIRO,Sim,Drive: NJUD 1795 13-01.mp3,Faltando
NJUD 1796,1 - JANEIRO,Sim,Drive: NJUD 1796 14-01.mp3,Faltando
NJUD 1797,1 - JANEIRO,Sim,Drive: NJUD 1797 15-01.mp3,Faltando
NJUD 1798,1 - JANEIRO,Sim,Drive: NJUD 1798 16-01.mp3,Faltando
NJUD 1799,1 - JANEIRO,Sim,Drive: NJUD 1799 19-01.mp3,Faltando
NJUD 1800,1 - JANEIRO,Sim,Drive: NJUD 1800 20-01.mp3,Faltando
NJUD 1801,1 - JANEIRO,Sim,Drive: NJUD 1801 21-01.mp3,Faltando
NJUD 1802,1 - JANEIRO,Sim,Drive: NJUD 1802 22-01.mp3,Faltando
NJUD 1803,1 - JANEIRO,Sim,Drive: NJUD 1803 23-01.mp3,Faltando
NJUD 1804,1 - JANEIRO,Sim,Drive: NJUD 1804 26-01.mp3,Faltando
NJUD 1805,1 - JANEIRO,Sim,Drive: NJUD 1805 27-01.mp3,Faltando
NJUD 1806,1 - JANEIRO,Sim,Drive: NJUD 1806 28-01.mp3,Faltando
NJUD 1807,1 - JANEIRO,Sim,Drive: NJUD 1807 29-01.mp3,Faltando
NJUD 1808,1 - JANEIRO,Sim,Drive: NJUD 1808 30-01.mp3,Faltando
NJUD 1809,2 - FEVEREIRO,Sim,Drive: NJUD 1809 02-02.mp3,Faltando
NJUD 1810,2 - FEVEREIRO,Sim,Drive: NJUD 1810 03-02.mp3,Faltando
NJUD 1811,2 - FEVEREIRO,Sim,Drive: NJUD 1811 04-02.mp3,Faltando
NJUD 1812,2 - FEVEREIRO,Sim,Drive: NJUD 1812 05-02.mp3,Faltando
NJUD 1813,2 - FEVEREIRO,Sim,Drive: NJUD 1813 06-02.mp3,Faltando
NJUD 1814,2 - FEVEREIRO,Sim,Drive: NJUD 1814 09-02.mp3,Faltando
NJUD 1815,2 - FEVEREIRO,Sim,Drive: NJUD 1815 10-02.mp3,Faltando
NJUD 1816,2 - FEVEREIRO,Sim,Drive: NJUD 1816 11-02.mp3,Faltando
NJUD 1817,2 - FEVEREIRO,Sim,Drive: NJUD 1817 12-02.mp3,Faltando
NJUD 1818,2 - FEVEREIRO,Sim,Drive: NJUD 1818 13-02.mp3,Faltando
NJUD 1819,2 - FEVEREIRO,Sim,Drive: NJUD 1819 19-02.mp3,Faltando
NJUD 1820,2 - FEVEREIRO,Sim,Drive: NJUD 1820 20-02.mp3,Faltando
NJUD 1821,2 - FEVEREIRO,Sim,Drive: NJUD 1821 23-02.mp3,Faltando
NJUD 1822,2 - FEVEREIRO,Sim,Drive: NJUD 1822 24-02.mp3,Faltando
NJUD 1823,2 - FEVEREIRO,Sim,"Drive: NJUD 1823.mp3, NJUD 1823 25-02.mp3",Faltando
NJUD 1824,2 - FEVEREIRO,Sim,Drive: NJUD 1824 26-02.mp3,Faltando
NJUD 1825,2 - FEVEREIRO,Sim,Drive: NJUD 1825 27-02.mp3,Faltando
NJUD 1826,3 - MARÇO,Sim,Drive: NJUD 1826 02-03.mp3,Drive: NJUD 1826 NOTAS.mp3
NJUD 1827,3 - MARÇO,Sim,"Drive: NJUD 1827.mp3, NJUD 1827 03-03.mp3",Faltando
NJUD 1828,3 - MARÇO,Sim,Drive: NJUD 1828 04-03.mp3,Faltando
NJUD 1829,3 - MARÇO,Sim,Drive: NJUD 1829 05-03.mp3,Faltando
NJUD 1830,3 - MARÇO,Sim,Drive: NJUD 1830 06-03.mp3,Faltando
NJUD 1831,3 - MARÇO,Sim,Drive: NJUD 1831 09-03.mp3,Faltando
NJUD 1832,3 - MARÇO,Sim,Faltando,"Drive: NJUD 1832 - LOCUÇÃO.mp3, NJUD 1832. - NOTAS mp3.mp3"
NJUD 1833,3 - MARÇO,Sim,Faltando,Drive: NJUD 1833 - NOTAS.mp3
NJUD 1834,3 - MARÇO,Sim,Faltando,Drive: NJUD 1834 - APRESENTAÇÃO.mp3
NJUD 1835,3 - MARÇO,Sim,Faltando,"Drive: NJUD 1835 NOTAS.mp3, NJUDs 1835 notas E 1836 locução.mp3"
NJUD 1836,3 - MARÇO,Sim,Faltando,"Drive: NJUD 1836 LOCUÇÃO.mp3, NJUDs 1835 notas E 1836 locução.mp3"
NJUD 1837,3 - MARÇO,Sim,Faltando,Drive: NJUD 1837 - NOTAS.mp3
NJUD 1838,3 - MARÇO,Sim,Faltando,Drive: NJUD 1838 - NOTAS.mp3
NJUD 1839,3 - MARÇO,Sim,Faltando,"Drive: NJUD 1839 - NOTAS.mp3, NJUD 1839 LOC.mp3"
NJUD 1840,3 - MARÇO,Sim,Faltando,Drive: NJUD 1840 - NOTAS.mp3
NJUD 1841,3 - MARÇO,Sim,Faltando,Faltando
NJUD 1842,3 - MARÇO,Sim,Faltando,Faltando
NJUD 1843,3 - MARÇO,Sim,Faltando,Faltando
NJUD 1844,3 - MARÇO,Sim,Faltando,Faltando
NJUD 1845,3 - MARÇO,Sim,Faltando,Faltando
NJUD 1846,3 - MARÇO,Sim,Faltando,Faltando
NJUD 1847,3 - MARÇO,Sim,Faltando,Drive: NJUD 1847 LOC.mp3
NJUD 1848,4 - ABRIL,Sim,Faltando,Faltando
NJUD 1849,4 - ABRIL,Sim,Faltando,Faltando
NJUD 1850,4 - ABRIL,Sim,Faltando,"Drive: NJUD 1850.mp3 LOCUÇÃO .mp3, NOTAS NJUD 1850.mp3"
NJUD 1851,4 - ABRIL,Sim,Faltando,"Drive: NJUD 1851.mp3 NOTAS.mp3, LOC NJUD 1851.mp3"
NJUD 1852,4 - ABRIL,Sim,Faltando,Faltando
NJUD 1853,4 - ABRIL,Sim,Faltando,Drive: NJUD 1853 LOC.mp3
NJUD 1854,4 - ABRIL,Sim,Faltando,Local (WAV): NJUD 1854.wav
NJUD 1855,4 - ABRIL,Sim,Faltando,Local (WAV): NJUD 1855.wav
NJUD 1856,4 - ABRIL,Sim,Faltando,Drive: NJUD 1856 NOTAS.mp3 / Local (WAV): NJUD 1856 E 57.wav
